"시도별",2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023 p)
"전국",14403,15519,17092,18227,19731,20539,21661,23324,24632,25532,28036,29297,30378,31419,32469,34271,35949,37835,39070,39787,40115,43415,45588,47306
"서울특별시",18143,20766,23106,25200,26807,28079,29247,32437,34098,35135,38931,41267,41899,42221,44291,45597,48496,50778,52690,53758,53474,59498,63778,65994
"부산광역시",11042,12219,13415,14203,14884,15988,17081,18688,20022,20493,21518,23267,24541,25584,27178,27678,28369,28776,29617,30892,31112,32832,34263,35373
"대구광역시",11145,11991,12949,13421,14530,15040,15973,16719,17769,18194,19397,20843,21864,22735,23925,25327,26455,27681,28554,29413,29509,31558,34000,34344
"인천광역시",10782,11696,13651,14731,15974,17026,18441,20237,21013,21577,23468,24542,25221,26164,27301,28319,30331,31520,32354,34160,34505,37828,39748,41203
"광주광역시",11183,12146,13012,13609,14235,15425,16561,18124,18762,19521,21143,22037,23192,24377,25677,26602,27895,29142,30657,32306,33187,34787,36826,38019
"대전광역시",12935,13935,15177,16522,17521,16952,17969,18915,19638,21252,22134,23664,24994,25586,26759,28460,29703,31906,32556,34444,35367,36934,39378,40976
"울산광역시",25907,27192,29727,29575,32919,33416,35540,40006,42917,42504,50360,51588,51048,50305,47558,50693,53523,52675,53566,54941,53378,57151,56854,60576
"세종특별자치시",-,-,-,-,-,-,-,-,-,-,-,-,-,39445,49840,44268,41933,41831,40267,42061,41899,45005,46146,47220
"경기도",15767,15585,17435,18103,19798,19938,21140,21973,22669,23626,27300,27533,29953,31995,32178,34655,36112,39929,41771,40898,41282,44754,47144,47899
"강원특별자치도",11151,12212,13064,13888,14529,15515,16615,17818,18446,19511,19797,20583,21595,22435,23571,25143,26610,28250,29533,31044,31285,33317,35422,37509
"충청북도",12162,13453,13946,14823,16560,16717,17994,19017,19984,21568,23124,24272,25751,27118,28088,29959,32022,33670,35374,37426,37858,40982,44535,45499
"충청남도",13441,14344,15811,17754,20047,20722,21814,23212,24295,27071,28957,30994,31548,33725,34291,36598,38731,40111,40624,41751,42810,46639,48067,49838
"전북특별자치도",11001,11895,12532,13202,14057,14944,15938,16646,17976,19301,20156,21146,22056,22692,23819,25453,26438,27467,28576,30072,31318,34592,37379,36239
"전라남도",13111,14156,15538,16493,18439,19149,20303,22439,23254,24746,27084,27631,28516,29397,29913,35266,37384,37215,36671,37012,40489,40067,36035,44838
"경상북도",14032,14440,15688,17333,19832,21832,21999,22627,26031,25713,27427,28802,27636,28625,30252,31613,32677,33012,33825,34792,34955,37956,38168,41091
"경상남도",13099,14390,15406,16245,17270,18472,19558,21357,23530,23895,24647,26030,26658,26642,27953,29583,30376,31183,31477,32975,32777,33986,35722,38879
"제주특별자치도",11709,12840,13722,14260,15721,15713,16585,17228,18194,19593,20806,23742,24798,26004,27424,29425,30966,32537,32497,32250,31825,36153,36865,36307
